OBJECTID,STATE_CODE,STRUCTURE_,RECORD_TYP,ROUTE_PREF,SERVICE_LE,ROUTE_NUMB,DIRECTION_,HIGHWAY_DI,COUNTY_COD,PLACE_CODE,FEATURES_D,CRITICAL_F,FACILITY_C,LOCATION_0,MIN_VERT_C,KILOPOINT_,BASE_HWY_N,LRS_INV_RO,SUBROUTE_N,LAT_016,LONG_017,DETOUR_KIL,TOLL_020,MAINTENANC,OWNER_022,FUNCTIONAL,YEAR_BUILT,TRAFFIC_LA,TRAFFIC__1,ADT_029,YEAR_ADT_0,DESIGN_LOA,APPR_WIDTH,MEDIAN_COD,DEGREES_SK,STRUCTURE1,RAILINGS_0,TRANSITION,APPR_RAIL_,APPR_RAIL1,HISTORY_03,NAVIGATION,NAV_VERT_C,NAV_HORR_C,OPEN_CLOSE,SERVICE_ON,SERVICE_UN,STRUCTUR_1,STRUCTUR_2,APPR_KIND_,APPR_TYPE_,MAIN_UNIT_,APPR_SPANS,HORR_CLR_M,MAX_SPAN_L,STRUCTUR_3,LEFT_CURB_,RIGHT_CURB,ROADWAY_WI,DECK_WIDTH,VERT_CLR_O,VERT_CLR_U,VERT_CLR_1,LAT_UND_RE,LAT_UND_MT,LEFT_LAT_U,SUPERSTRUC,SUBSTRUCTU,CHANNEL_CO,CULVERT_CO,OPR_RATING,OPERATING_,INV_RATING,INVENTORY_,STRUCTURAL,DECK_GEOME,UNDCLRENCE,POSTING_EV,WATERWAY_E,APPR_ROAD_,WORK_PROPO,WORK_DONE_,IMP_LEN_MT,DATE_OF_IN,INSPECT_FR,FRACTURE_0,UNDWATER_L,SPEC_INSPE,FRACTURE_L,UNDWATER_1,SPEC_LAST_,BRIDGE_IMP,ROADWAY_IM,TOTAL_IMP_,YEAR_OF_IM,OTHER_STAT,OTHER_ST_1,OTHR_STATE,STRAHNET_H,PARALLEL_S,TRAFFIC_DI,TEMP_STRUC,HIGHWAY_SY,FEDERAL_LA,YEAR_RECON,DECK_STRUC,SURFACE_TY,MEMBRANE_T,DECK_PROTE,PERCENT_AD,NATIONAL_N,PIER_PROTE,BRIDGE_LEN,SCOUR_CRIT,FUTURE_ADT,YEAR_OF_FU,MIN_NAV_CL,FED_AGENCY,SUBMITTED_,BRIDGE_CON_SHORT,DECK_COND_CODE,LOWEST_RAT,DECK_AREA,STATUS,DATE,LATDD,LONGDD,BRIDGE_CON,DECK_CON
1,12,270048,1,1,1,10,0,2,3,0,CSXRR REMOVED,0,I-10 WB SR-8,I-10/CSXRR REMOVED,99.99,40.911,1,27090000,0,30165387,82025757,2,3,1,1,1,1960,2,0,18000,2021,6,11.6,0,45,0,1,1,1,1,5,N,0,0,A,1,0,5,2,0,0,4,0,12.2,18.9,71.3,0,0,12.2,13,99.99,N,0,N,0,0,7,7,N,N,1,63,1,37.6,7,7,N,5,N,8, , ,0,223,24,N,N,N, , , ,0,0,0,0, ,0, ,1,L,1, ,1,0,1990,1,0,0,0,25,1, ,Y,N,31230,2043,0,N,12,F,6,6,926.9,MM,303,30.281628,-82.049167,Fair,Fair
2,12,270058,1,1,1,10,0,2,3,0,CSXRR REMOVED,0,I-10 EB SR-8,I-10/CSXRR REMOVED,99.99,40.911,1,27090000,0,30165268,82025913,2,3,1,1,1,1960,2,0,18000,2021,6,11.6,0,45,0,1,1,1,1,5,N,0,0,A,1,0,5,2,0,0,4,0,12.2,18.9,71.3,0,0,12.2,13,99.99,N,0,N,0,0,7,7,N,N,1,63,1,37.6,7,7,N,5,N,8, , ,0,223,24,N,N,N, , , ,0,0,0,0, ,0, ,1,R,1, ,1,0,1990,1,0,0,0,25,1, ,Y,N,31230,2043,0,N,12,F,6,6,926.9,MM,303,30.281333,-82.049422,Fair,Fair
3,12,710001,1,4,1,218,0,2,19,0,GUM BRANCH,0,CR 218,1.9 MI EAST OF US 301,99.99,3.103,0,71120000,0,30082760,82001400,20,3,2,2,7,1950,2,0,13500,2022,0,9.7,0,0,0,N,N,1,1,5,0,0,0,A,1,5,1,19,0,0,3,0,10.5,2.7,7.7,0,0,0,0,99.99,N,0,N,0,0,N,N,5,6,1,42.8,1,25.7,6,N,N,5,8,8, , ,0,922,24,N,Y24,N, ,922, ,0,0,0,0, ,0, ,0,N,2, ,0,0,0,N,N,N,N,4,0, ,Y,8,23423,2042,0,N,12,F,N,6,74.69,AM,1202,30.141406,-82.004133,Fair,N/A
4,12,710002,1,2,1,17,0,2,19,0,CLARKES CREEK,0,US-17 (SR-15),8.5 MI. S. OF SR-16,99.99,4.395,1,71010000,0,29524207,81395161,32,3,1,1,2,1961,4,0,9700,2021,2,18.1,1,0,0,N,N,N,N,5,0,0,0,A,1,5,1,19,0,0,3,0,14.2,3,9.6,0,0,0,0,99.99,N,0,N,0,0,N,N,6,6,1,68.7,1,41.2,6,N,N,5,8,8, , ,0,822,24,N,N,N, , , ,0,0,0,0, ,0, ,0,N,2, ,1,0,1993,N,N,N,N,13,0, ,Y,8,16830,2043,0,N,12,F,N,6,173.76,MM,603,29.878183,-81.664458,Fair,N/A
5,12,710003,1,4,1,209,0,2,19,0,WALKILL CREEK,0,CR 209,2 MI SOUTH OF US 17,99.99,5.008,0,71550000,0,29560552,81393972,5,3,2,2,9,1950,2,0,619,2022,0,6.1,0,0,0,N,N,1,1,5,0,0,0,A,1,5,3,19,0,0,4,0,7.8,3.7,19.5,0,0,0,0,99.99,N,0,N,0,0,N,N,7,5,3,99.9,3,99.9,5,N,N,5,5,8, , ,0,822,24,N,N,N, , , ,0,0,0,0, ,0, ,0,N,2, ,0,0,0,N,N,N,N,10,0, ,Y,8,1074,2042,0,N,12,F,N,5,118.95,MM,603,29.934839,-81.661058,Fair,N/A
6,12,710004,1,2,1,17,0,2,19,0,CSXRR,0,US-17 SB (SR-15),2.6 MI. S. OF SR-16,99.99,13.937,1,71010000,0,29572200,81401900,2,3,1,1,2,1961,2,0,6050,2021,6,11,0,40,0,1,1,1,1,5,N,0,0,A,1,2,5,2,0,0,3,0,12.1,19.8,50.3,0,0,12.1,13.3,99.99,R,6.83,R,4.9,0,7,7,N,N,3,43.1,3,33.9,7,7,6,5,N,7, , ,0,921,24,N,N,N, , , ,0,0,0,0, ,0, ,0,L,1, ,1,0,1993,1,0,0,0,13,0, ,Y,N,10497,2043,0,N,12,G,7,7,668.99,AM,1202,29.956058,-81.672047,Good,Good
7,12,710006,1,2,1,17,0,2,19,0,GOVERNORS CREEK,0,US-17 (SR-15),1.239 MI. N. OF SR-16,99.99,2,1,71020000,0,30002269,81412715,26,3,1,1,14,1973,4,0,27500,2021,5,17.9,0,0,0,1,1,1,1,5,1,2.4,9.5,A,5,5,5,1,0,0,10,0,17.6,10.1,100.6,3.4,1.8,17.6,24.3,99.99,N,0,N,0,0,5,6,7,N,3,66.3,3,51.2,5,5,N,5,8,8, , ,0,321,24,N,Y23,N, ,223, ,0,0,0,0, ,0, ,0,N,2, ,1,0,0,2,6,0,0,7,0,1,Y,5,47712,2043,0,N,12,F,5,5,2444.58,MM,603,30.006119,-81.690642,Fair,Fair
8,12,710009,1,2,1,17,0,2,19,0,BLACK CREEK,0,US-17 SB (SR-15),N. OF GREEN COVE SPRINGS,99.99,6.31,1,71020000,0,30022820,81423237,1,3,1,1,14,1973,2,0,17250,2021,4,9.1,0,0,0,1,1,1,1,5,1,9.1,18.4,A,1,5,5,2,0,0,17,0,12.2,29,446.5,0,0,12.2,12.8,99.99,N,0,N,0,0,7,6,7,N,1,59.1,1,28.1,6,7,N,5,8,8, , ,0,921,24,N,Y23,N, ,921, ,0,0,0,0, ,0, ,0,L,1, ,1,0,0,1,0,0,0,7,0,2,Y,5,29929,2043,0,N,12,F,7,6,5715.2,AM,503,30.039506,-81.708817,Fair,Good
9,12,710012,1,2,1,17,0,2,19,52125,JOHNSON SLOUGH,0,US-17 (SR-15),0.4 MI. S. OF SR-224,99.99,19.716,1,71020000,0,30093648,81420298,27,3,1,1,14,1967,6,0,55000,2021,5,21.3,2,0,0,1,N,N,N,5,0,0,0,A,5,5,5,1,0,0,3,0,25.4,7.6,22.9,2,2,25.4,30.3,99.99,N,0,N,0,0,5,7,7,N,1,57.1,1,49.8,5,5,N,5,8,8, , ,0,123,24,N,N,N, , , ,0,0,0,0, ,0, ,0,N,2, ,1,0,2010,2,6,0,0,7,0, ,Y,5,95425,2043,0,N,12,F,5,5,693.87,AM,1202,30.160186,-81.700778,Fair,Fair
10,12,710013,1,4,1,315,0,2,19,0,ATES CREEK,0,CR 315,0.7 MI EAST OF SR 21,99.99,1.236,0,71560000,0,29543900,81530600,11,3,2,2,9,1960,2,0,515,2022,2,5.7,0,25,0,0,0,0,0,5,0,0,0,A,1,5,1,1,0,0,8,0,7.3,6.1,48.8,0.2,0.2,7.3,7.8,99.99,N,0,N,0,0,6,5,5,N,3,32.7,3,25.1,5,4,N,5,8,8, , ,0,822,24,N,Y24,N, ,822, ,0,0,0,0, ,0, ,0,N,2, ,0,0,0,1,0,0,0,10,0, ,Y,3,894,2042,0,N,12,F,6,5,380.64,AM,1202,29.910861,-81.884969,Fair,Fair
