Index,Month,Type,Count
0,Jan 2019,Arrivals,250674
1,Feb 2019,Arrivals,251578
2,Mar 2019,Arrivals,329674
3,Apr 2019,Arrivals,317191
4,May 2019,Arrivals,330383
5,Jun 2019,Arrivals,325265
6,Jul 2019,Arrivals,323960
7,Aug 2019,Arrivals,309903
8,Sep 2019,Arrivals,259917
9,Oct 2019,Arrivals,308074
10,Nov 2019,Arrivals,292371
11,Dec 2019,Arrivals,297963
12,Jan 2020,Arrivals,115044
13,Feb 2020,Arrivals,114639
14,Mar 2020,Arrivals,117775
15,Apr 2020,Arrivals,256388
16,May 2020,Arrivals,243993
17,Jun 2020,Arrivals,152689
18,Jul 2020,Arrivals,14525
19,Aug 2020,Arrivals,38592
20,Sep 2020,Arrivals,78746
21,Oct 2020,Arrivals,98611
22,Nov 2020,Arrivals,95464
23,Dec 2020,Arrivals,100852
24,Jan 2021,Arrivals,96330
25,Feb 2021,Arrivals,93242
26,Mar 2021,Arrivals,159511
27,Apr 2021,Arrivals,188224
28,May 2021,Arrivals,224219
29,Jun 2021,Arrivals,256180
30,Jul 2021,Arrivals,265428
31,Aug 2021,Arrivals,232296
32,Sep 2021,Arrivals,220023
33,Oct 2021,Arrivals,252943
34,Nov 2021,Arrivals,268969
35,Dec 2021,Arrivals,263688
36,Jan 2022,Arrivals,195953
37,Feb 2022,Arrivals,214237
38,Mar 2022,Arrivals,287401
39,Apr 2022,Arrivals,281692
40,May 2022,Arrivals,293773
41,Jun 2022,Arrivals,296231
42,Jul 2022,Arrivals,296267
43,Aug 2022,Arrivals,281156
44,Sep 2022,Arrivals,256979
45,Oct 2022,Arrivals,291219
46,Nov 2022,Arrivals,287758
47,Dec 2022,Arrivals,295228
48,Jan 2023,Arrivals,261801
49,Feb 2023,Arrivals,253905
50,Mar 2023,Arrivals,325903
51,Apr 2023,Arrivals,322522
52,May 2023,Arrivals,329269
53,Jun 2023,Arrivals,341129
54,Jul 2023,Arrivals,341139
55,Aug 2023,Arrivals,302839
56,Sep 2023,Arrivals,291981
57,Oct 2023,Arrivals,314902
58,Nov 2023,Arrivals,316374
59,Dec 2023,Arrivals,313314
60,Jan 2019,Departures,244136
61,Feb 2019,Departures,256714
62,Mar 2019,Departures,334805
63,Apr 2019,Departures,307150
64,May 2019,Departures,323355
65,Jun 2019,Departures,317290
66,Jul 2019,Departures,327278
67,Aug 2019,Departures,302454
68,Sep 2019,Departures,262874
69,Oct 2019,Departures,314529
70,Nov 2019,Departures,293166
71,Dec 2019,Departures,305935
72,Jan 2020,Departures,114869
73,Feb 2020,Departures,116174
74,Mar 2020,Departures,118750
75,Apr 2020,Departures,249318
76,May 2020,Departures,247787
77,Jun 2020,Departures,152006
78,Jul 2020,Departures,12878
79,Aug 2020,Departures,39707
80,Sep 2020,Departures,78003
81,Oct 2020,Departures,94739
82,Nov 2020,Departures,93911
83,Dec 2020,Departures,100251
84,Jan 2021,Departures,93489
85,Feb 2021,Departures,95717
86,Mar 2021,Departures,169823
87,Apr 2021,Departures,180757
88,May 2021,Departures,223037
89,Jun 2021,Departures,251550
90,Jul 2021,Departures,264771
91,Aug 2021,Departures,231043
92,Sep 2021,Departures,219934
93,Oct 2021,Departures,259736
94,Nov 2021,Departures,267978
95,Dec 2021,Departures,265557
96,Jan 2022,Departures,189949
97,Feb 2022,Departures,221372
98,Mar 2022,Departures,289389
99,Apr 2022,Departures,277002
100,May 2022,Departures,302875
101,Jun 2022,Departures,293190
102,Jul 2022,Departures,298936
103,Aug 2022,Departures,279237
104,Sep 2022,Departures,253414
105,Oct 2022,Departures,301271
106,Nov 2022,Departures,289113
107,Dec 2022,Departures,301260
108,Jan 2023,Departures,259811
109,Feb 2023,Departures,258391
110,Mar 2023,Departures,332884
111,Apr 2023,Departures,313852
112,May 2023,Departures,323704
113,Jun 2023,Departures,339317
114,Jul 2023,Departures,345315
115,Aug 2023,Departures,304553
116,Sep 2023,Departures,292007
117,Oct 2023,Departures,325425
118,Nov 2023,Departures,317760
119,Dec 2023,Departures,317987
