index,Date,Labor Force,Employment,Unemployment,Unemployment Rate
0,1/1/2019,761954,733742,28212,3.70
1,2/1/2019,763333,738485,24848,3.30
2,3/1/2019,763394,738847,24547,3.20
3,4/1/2019,762903,740887,22016,2.90
4,5/1/2019,772703,749174,23529,3.00
5,6/1/2019,783116,755580,27536,3.50
6,7/1/2019,788421,759749,28672,3.60
7,8/1/2019,787675,760743,26932,3.40
8,9/1/2019,790552,765982,24570,3.10
9,10/1/2019,788506,764415,24091,3.10
10,11/1/2019,784652,761806,22846,2.90
11,12/1/2019,785081,764071,21010,2.70
12,1/1/2020,782099,757621,24478,3.10
13,2/1/2020,783439,762151,21288,2.70
14,3/1/2020,771884,739103,32781,4.20
15,4/1/2020,709505,634511,74994,10.60
16,5/1/2020,759146,676599,82547,10.90
17,6/1/2020,768045,699410,68635,8.90
18,7/1/2020,787553,709874,77679,9.90
19,8/1/2020,780753,726341,54412,7.00
20,9/1/2020,788330,737281,51049,6.50
21,10/1/2020,789367,745538,43829,5.60
22,11/1/2020,785591,744201,41390,5.30
23,12/1/2020,785623,746352,39271,5.00
24,1/1/2021,780522,740675,39847,5.10
25,2/1/2021,782293,745922,36371,4.60
26,3/1/2021,784664,750094,34570,4.40
27,4/1/2021,784954,752494,32460,4.10
28,5/1/2021,792430,760777,31653,4.00
29,6/1/2021,801535,764473,37062,4.60
30,7/1/2021,804311,768681,35630,4.40
31,8/1/2021,805271,771594,33677,4.20
32,9/1/2021,808756,778122,30634,3.80
33,10/1/2021,809772,780470,29302,3.60
34,11/1/2021,809414,781810,27604,3.40
35,12/1/2021,810170,786136,24034,3.00
36,1/1/2022,810629,781638,28991,3.60
37,2/1/2022,810845,785358,25487,3.10
38,3/1/2022,815218,791669,23549,2.90
39,4/1/2022,816421,794416,22005,2.70
40,5/1/2022,824617,801836,22781,2.80
41,6/1/2022,830343,803507,26836,3.20
42,7/1/2022,833739,807788,25951,3.10
43,8/1/2022,835093,809135,25958,3.10
44,9/1/2022,836491,813293,23198,2.80
45,10/1/2022,835016,811973,23043,2.80
46,11/1/2022,826818,804223,22595,2.70
47,12/1/2022,827949,808017,19932,2.40
48,1/1/2023,828876,805226,23650,2.90
49,2/1/2023,829997,807054,22943,2.80
50,3/1/2023,836013,813320,22693,2.70
51,4/1/2023,836907,816349,20558,2.50
52,5/1/2023,843740,820166,23574,2.80
53,6/1/2023,852774,825089,27685,3.20
54,7/1/2023,851784,823852,27932,3.30
55,8/1/2023,855574,826255,29319,3.40
56,9/1/2023,854872,827602,27270,3.20
57,10/1/2023,854462,826801,27661,3.20
58,11/1/2023,851799,825372,26427,3.10
59,12/1/2023,847996,822867,25129,3.00
