REPORT_NUMBER,CRASH_YEAR,CRASH_DATE_AND_TIME,REPORT_DATE_AND_TIME,INVESTIGATING_AGENCY_REPORT_NUMBER,FORM_TYPE,TOTAL_NUMBER_OF_VEHICLES,TOTAL_NUMBER_OF_PERSONS,COUNTY_CODE,CITY_CODE,COUNTY_NAME,CITY_NAME,RURAL_OR_URBAN,NOTIFIED_TIME,DISPATCHED_TIME,ARRIVED_TIME,CLEARED_TIME,COMPLETED_FLAG,NOTIFIED_BY,ON_STREET_ROAD_HIGHWAY,STREET_ADDRESS_NUMBER,LATITUDE,LONGITUDE,FEET_FROM_INTERSECTION,DIRECTION_FROM_INTERSECTION,FROM_INTERSECTION_OF,MILEPOST_NUMBER,ROAD_SYSTEM_IDENTIFER,TYPE_OF_SHOULDER,TYPE_OF_INTERSECTION,PHOTOS_TAKEN,LIGHT_CONDITION,WEATHER_CONDITION,ROAD_SURFACE_CONDITION,SCHOOL_BUS_RELATED_CODE,TYPE_OF_IMPACT,FIRST_HARMFUL_EVENT,LOCATION,INTERCHANGE_FLAG,JUNCTION_FLAG,ROAD_CIRCUMSTANCES_1,ROAD_CIRCUMSTANCES_2,ROAD_CIRCUMSTANCES_3,ENVIRONMENT_CIRCUMSTANCES_1,ENVIRONMENT_CIRCUMSTANCES_2,ENVIRONMENT_CIRCUMSTANCES_3,WORK_ZONE_RELATED_FLAG,CRASH_IN_WORK_ZONE,TYPE_OF_WORK_ZONE,WORKERS_PRESENT,LAW_ENFORCEMENT_PRESENT,INVESTIGATOR_RANK,INVESTIGATING_AGENCY_NAME,INVESTIGATING_AGENCY_TYPE,LOAD_DATE,CODEABLE,S4_CRASH_TYPE,S4_CRASH_TYPE_SIMPLIFIED,S4_CRASH_SEVERITY,S4_CRASH_SEVERITY_DETAIL,S4_DAY_OR_NIGHT,S4_IS_AGGRESSIVE_DRIVING,S4_IS_ALCOHOL_RELATED,S4_IS_CMV_INVOLVED,S4_IS_DISTRACTED,S4_IS_DRUG_RELATED,S4_IS_HIT_AND_RUN,S4_IS_INTERSECTION_RELATED,S4_IS_LANE_DEPARTURE_RELATED,S4_IS_SPEEDING_RELATED,S4_NONE_INJURY_COUNT,S4_INJURY_COUNT,S4_POSSIBLE_INJURY_COUNT,S4_NON_INCAPACITATING_INJURY_COUNT,S4_INCAPACITATING_INJURY_COUNT,S4_FATALITY_COUNT,S4_FATALITY_WITHIN_30_DAYS_COUNT,S4_NON_TRAFFIC_FATALITY_COUNT,S4_TRAILER_COUNT,S4_MOTORCYCLE_COUNT,S4_MOPED_COUNT,S4_NON_MOTORIST_COUNT,S4_BICYCLIST_COUNT,S4_PEDESTRIAN_COUNT,S4_DRIVER_COUNT,S4_AGING_DRIVER_COUNT,S4_TEENAGER_DRIVER_COUNT,S4_PASSENGER_COUNT,S4_UNRESTRAINED_COUNT,S4_UNRESTRAINED_INJURY_COUNT,S4_UNRESTRAINED_INCAPACITATING_INJURY_COUNT,S4_UNRESTRAINED_FATALITY_COUNT,S4_MOTORCYCLIST_COUNT,S4_MOTORCYCLIST_INCAPACITATING_INJURY_COUNT,S4_MOTORCYCLIST_FATALITY_COUNT,S4_IS_PEDESTRIAN_INVOLVED,S4_PEDESTRIAN_INCAPACITATING_INJURY_COUNT,S4_PEDESTRIAN_FATALITY_COUNT,S4_IS_BICYCLIST_INVOLVED,S4_BICYCLIST_INCAPACITATING_INJURY_COUNT,S4_BICYCLIST_FATALITY_COUNT,S4_CITATION_COUNT,S4_CITATION_AMOUNT,S4_PROPERTY_DAMAGE_COUNT,S4_PROPERTY_DAMAGE_AMOUNT,S4_VEHICLE_DAMAGE_COUNT,S4_VEHICLE_DAMAGE_AMOUNT,S4_TOTAL_DAMAGE_AMOUNT,S4_TRANSPORT_BY_EMS_COUNT,S4_TRANSPORT_BY_LAW_ENFORCEMENT_COUNT,S4_TRANSPORT_BY_OTHER_COUNT,S4_GEOLOCATION_STATUS,S4_PRELIMINARY_GEOLOCATION_STATUS,S4_X,S4_Y,S4_LATITUDE,S4_LONGITUDE
25049195,2023,2/9/2023 7:00,2/9/2023 7:59,FHP23ON0070036,L,1,3,48,0,Clay,Unincorporated,Rural,2/9/2023 7:00,2/9/2023 7:00,2/9/2023 7:00,2/9/2023 8:16,Y,Law Enforcement,CR-218,,30.07513,-81.93433,0,,MELANIE LANE,,County,Paved,T-Intersection,N,Dark - Not Lighted,Clear,Dry,N,Other,Pedestrian,On Roadway,N,Non-Junction,None,,,None,,,N,,,,,TPR,Florida Highway Patrol,Florida Highway Patrol (FHP),2/21/2023 15:59,Y,Pedestrian,Pedestrian,Serious Injury,Incapacitating Injury,DAY,N,N,N,N,N,N,N,N,N,2,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,Y,1,0,N,0,0,0,0,0,0,1,1500,1500,1,0,0,Preliminary,Editor Mapped,409953.3208,3327475.852,30.07510735,-81.93431596
25666156,2023,2/18/2023 3:58,2/18/2023 0:00,2023004260,L,1,1,48,0,Clay,Unincorporated,Rural,2/18/2023 4:01,2/18/2023 4:02,2/18/2023 4:11,2/18/2023 5:15,Y,Law Enforcement,MARSHALL LN,2556,29.983041,-81.776588,97,West,,,Parking Lot,Unpaved,Not at Intersection,N,Dark - Not Lighted,Clear,Dry,N,,Overturn/Rollover,Off Roadway,N,Non-Junction,None,,,None,,,N,,,,,D/S,Clay County Sheriff's Office,Sheriff's Office (SO),3/7/2023 15:29,Y,Rollover,Rollover,Serious Injury,Incapacitating Injury,NIGHT,N,N,N,N,N,N,N,Y,N,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,N,0,0,N,0,0,0,0,0,0,1,15000,15000,1,0,0,Preliminary,Editor Mapped,425079.0129,3317148.665,29.98293931,-81.77665959
25022808,2023,10/10/2023 23:32,3/10/2024 21:32,FHP23ON0534031,L,1,1,48,40,Clay,Green Cove Springs,Urban,10/10/2023 23:37,10/10/2023 23:41,10/11/2023 0:29,10/11/2023 3:32,Y,Law Enforcement,COUNTY ROAD 214,,29.85359546,-81.63758035,262293365,West,COUNTY ROAD 209 S,,County,Unpaved,Not at Intersection,Y,Dark - Not Lighted,Clear,Dry,N,Other,Overturn/Rollover,Shoulder,N,Non-Junction,None,,,None,,,N,,,,,TPR,Florida Highway Patrol,Florida Highway Patrol (FHP),10/29/2023 19:11,Y,Rollover,Rollover,Fatality,Fatal (within 30 days),NIGHT,N,Y,N,N,Y,N,N,Y,N,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,N,0,0,N,0,0,0,0,0,0,1,70000,70000,0,0,1,Verified,n/a,438412.5654,3302739.779,29.8536538,-81.63761776
89715213,2023,11/18/2023 13:10,4/25/2024 12:13,FHP23ON0607672,L,2,3,48,0,Clay,Unincorporated,Rural,11/18/2023 13:17,11/18/2023 13:28,11/18/2023 13:49,11/18/2023 17:48,Y,Law Enforcement,INDIGO AVE,,30.05537,-81.91627,208205766,,CATTAIL ST,,Local,Unpaved,Four-Way Intersection,Y,Daylight,Clear,Dry,N,Angle,Motor Vehicle in Transport,On Roadway,N,Intersection,None,,,None,,,N,,,,,TPR,Florida Highway Patrol,Florida Highway Patrol (FHP),11/28/2023 19:53,Y,Right Angle,Angle,Fatality,Fatal (within 30 days),DAY,N,N,N,N,Y,N,Y,N,N,2,0,0,0,0,1,1,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,1,0,1,N,0,0,N,0,0,0,0,0,0,2,13000,13000,0,0,1,Preliminary,Editor Mapped,411674.8602,3325277.096,30.05539292,-81.91627258
25665878,2023,1/20/2023 16:38,1/20/2023 0:00,2023001752,L,1,1,48,0,Clay,Unincorporated,Rural,1/20/2023 16:42,1/20/2023 16:43,1/20/2023 16:48,1/20/2023 17:15,Y,Law Enforcement,COUNTY ROAD 217,868,30.15854,-82.000232,364,North,,,County,Unpaved,Not at Intersection,N,Daylight,Clear,Dry,N,,Overturn/Rollover,Off Roadway,N,Non-Junction,None,,,None,,,N,,,,,PATROL,Clay County Sheriff's Office,Sheriff's Office (SO),1/22/2023 14:44,Y,Rollover,Rollover,Serious Injury,Incapacitating Injury,DAY,N,N,N,Y,N,N,N,Y,N,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,N,0,0,N,0,0,0,0,0,0,1,4000,4000,1,0,0,Preliminary,Editor Mapped,403680.5303,3336787.577,30.15864902,-82.00024013
25058612,2023,2/26/2023 18:05,2/26/2023 18:38,FHP23ON0103680,L,1,1,48,0,Clay,Unincorporated,Rural,2/26/2023 18:05,2/26/2023 18:08,2/26/2023 18:27,2/26/2023 19:05,Y,Law Enforcement,STATE ROAD 21,,29.86752683,-81.9382304,4518,West,GOLDEN OAK LANE,,State,Unpaved,Not at Intersection,N,Daylight,Clear,Dry,N,Other,Fence,Off Roadway,N,Non-Junction,None,,,None,,,N,,,,,TPR,Florida Highway Patrol,Florida Highway Patrol (FHP),3/8/2023 15:02,Y,Off Road,Off Road,Serious Injury,Incapacitating Injury,DAY,N,N,N,N,N,N,N,Y,N,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,N,0,0,N,0,0,1,0,2,2500,1,5000,7500,1,0,0,Preliminary,Editor Mapped,409527.7324,3304611.701,29.86876269,-81.9367936
25666911,2023,4/28/2023 17:28,4/28/2023 0:00,2023010759,L,4,5,48,0,Clay,Unincorporated,Rural,4/28/2023 17:32,4/28/2023 17:32,4/28/2023 17:32,4/28/2023 18:51,Y,Law Enforcement,HIGHWAY 17,,30.024938,-81.706636,406,North,CR-315,,U.S.,Unpaved,Not at Intersection,N,Daylight,Clear,Dry,N,"Sideswipe, Same Direction",Motor Vehicle in Transport,On Roadway,N,Non-Junction,None,,,None,,,N,,,,,PAT,Clay County Sheriff's Office,Sheriff's Office (SO),5/6/2023 15:22,Y,Same Direction Sideswipe,Sideswipe,Serious Injury,Incapacitating Injury,DAY,N,N,N,Y,N,N,N,Y,N,2,3,2,0,1,0,0,0,0,0,0,0,0,0,4,2,0,1,0,0,0,0,0,0,0,N,0,0,N,0,0,0,0,0,0,4,6000,6000,3,0,0,Preliminary,Editor Mapped,431863.0732,3321758.31,30.02493232,-81.70663283
25002545,2023,1/2/2023 0:00,1/2/2023 6:55,FHP23ON0001726,L,1,2,48,0,Clay,Unincorporated,Rural,1/2/2023 5:06,1/2/2023 5:13,1/2/2023 6:29,1/2/2023 7:37,Y,Law Enforcement,SR-100,,29.77942611,-82.02094298,920,West,MYRTLE AVE,,State,Unpaved,Not at Intersection,N,Dark - Not Lighted,"Fog, Smog, Smoke",Wet,N,Other,Pedestrian,On Roadway,N,Non-Junction,None,,,None,,,N,,,,,TPR,Florida Highway Patrol,Florida Highway Patrol (FHP),1/12/2023 14:54,Y,Pedestrian,Pedestrian,Serious Injury,Incapacitating Injury,NIGHT,N,N,N,N,N,Y,N,N,N,0,2,0,1,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,Y,1,0,N,0,0,0,0,0,0,1,1000,1000,2,0,0,Preliminary,Editor Mapped,401442.0052,3294687.316,29.77859013,-82.01959708
25062950,2023,2/16/2023 6:39,2/16/2023 7:28,FHP23ON0083314,L,3,4,2,38,Duval,Jacksonville,Urban,2/16/2023 6:44,2/16/2023 6:51,2/16/2023 7:06,2/16/2023 8:17,Y,Law Enforcement,I-295 S,,30.1966,-81.73956,1815,West,BLANDING BLVD,,Interstate,Paved,Not at Intersection,N,Dawn,Clear,Dry,N,Front to Rear,Motor Vehicle in Transport,On Roadway,N,Non-Junction,None,,,None,,,N,,,,,TPR,Florida Highway Patrol,Florida Highway Patrol (FHP),2/22/2023 17:05,Y,Rear End,Rear End,Serious Injury,Incapacitating Injury,NIGHT,N,N,N,N,N,N,N,N,N,2,2,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,N,0,0,N,0,0,1,0,0,0,3,14000,14000,2,0,0,Preliminary,Editor Mapped,429568.3683,3340463.76,30.19359518,-81.73167181
25049198,2023,2/18/2023 0:43,5/11/2023 15:13,FHP23ON0087343,L,1,1,48,42,Clay,Keystone Heights,Urban,2/18/2023 0:43,2/18/2023 1:02,2/18/2023 1:38,2/18/2023 5:02,Y,Law Enforcement,SW NIGHTINGALE ST,,29.78391,-82.03613,25,South,ORCHID AVE,,Local,Unpaved,Four-Way Intersection,Y,Dark - Lighted,Clear,Dry,N,Other,Utility Pole/Light Support,Off Roadway,N,Non-Junction,None,,,None,,,N,,,,,CPL,Florida Highway Patrol,Florida Highway Patrol (FHP),3/14/2023 15:10,Y,Off Road,Off Road,Fatality,Fatal (within 30 days),NIGHT,N,Y,N,N,Y,N,N,Y,N,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,N,0,0,N,0,0,0,0,0,0,1,6000,6000,0,0,1,Verified,n/a,399821.7151,3295278.755,29.78379664,-82.03641192
