Index,Category,FY23_Qtr,Mins
2,Verification Duration,1st Quarter,2
3,Response Duration,1st Quarter,4.9
4,Open Roads Duration,1st Quarter,48.8
5,Departure Duration,1st Quarter,20.1
10,Verification Duration,2nd Quarter,2.4
11,Response Duration,2nd Quarter,5.4
12,Open Roads Duration,2nd Quarter,47.5
13,Departure Duration,2nd Quarter,19.4
18,Verification Duration,3rd Quarter,2.1
19,Response Duration,3rd Quarter,5.1
20,Open Roads Duration,3rd Quarter,50
21,Departure Duration,3rd Quarter,17.8
26,Verification Duration,4th Quarter,2
27,Response Duration,4th Quarter,5.7
28,Open Roads Duration,4th Quarter,49.6
29,Departure Duration,4th Quarter,19.6
