Index,Agency,Year,Totals
0,St. Johns - Sunshine Bus Company ,2017,273588
1,St. Johns - Sunshine Bus Company ,2018,300165
2,St. Johns - Sunshine Bus Company ,2019,280445
3,St. Johns - Sunshine Bus Company ,2020,144874
4,St. Johns - Sunshine Bus Company ,2021,99596
5,St. Johns - Sunshine Bus Company ,2022,127131
6,Jacksonville - Jacksonville Transportation Authority ,2017,12333293
7,Jacksonville - Jacksonville Transportation Authority ,2018,11718575
8,Jacksonville - Jacksonville Transportation Authority ,2019,11202092
9,Jacksonville - Jacksonville Transportation Authority ,2020,7727901
10,Jacksonville - Jacksonville Transportation Authority ,2021,5670320
11,Jacksonville - Jacksonville Transportation Authority ,2022,5867113
